Company Name,Company Number,Incorporation Date,Status,Source,Date Downloaded,Time Discovered,Category,SIC Codes,SIC Description,Typical Use Case
DESI BEATZ UK LTD,16472669,2025-05-24,active,,2025-05-24,02:27:10,Other,93290,,
HAVENTRA LIMITED,SC849701,2025-05-24,active,,2025-05-24,02:27:10,Other,47910,,
BUYLIO LTD,16472681,2025-05-24,active,,2025-05-24,02:27:10,Other,47910,,
KA ENTERPRISES LTD,16472672,2025-05-24,active,,2025-05-24,02:27:10,Other,47910,,
AWAKENTRAILS COLLECTIVE LTD,16472674,2025-05-24,active,,2025-05-24,02:27:10,Other,"82302,86900,96040",,
BRISTOL SAFETY DEPOSIT LIMITED,16472679,2025-05-24,active,,2025-05-24,02:27:10,Other,47789,,
ALL ABOUT BEAUTY & AESTHETICS STUDIO LIMITED,16472676,2025-05-24,active,,2025-05-24,02:27:10,Other,96020,,
TOTAL SPARK CLEANING LTD,16472684,2025-05-24,active,,2025-05-24,02:27:10,Other,81210,,
REST STAY TRAVEL LTD,16472682,2025-05-24,active,,2025-05-24,02:27:10,Other,55100,,
STEADY CLOTHING LTD,16472680,2025-05-24,active,,2025-05-24,02:27:10,Other,"47710,47910",,
LUKE DELIVERS LTD,SC849700,2025-05-24,active,,2025-05-24,02:27:10,Other,53202,,
WOK LIN TAKEAWAY LTD,16472670,2025-05-24,active,,2025-05-24,02:27:10,Other,56103,,
RDS BUILDERS LTD,16472678,2025-05-24,active,,2025-05-24,02:27:10,Other,"41201,41202",,
IHSAAN PERFORMANCE LTD,16472683,2025-05-24,active,,2025-05-24,02:27:10,Other,47910,,
ORBIY LIMITED,16472677,2025-05-24,active,,2025-05-24,02:27:10,Other,"47910,49390,77110",,
VEGGIE FRUITY LTD,16472673,2025-05-24,active,,2025-05-24,02:27:10,Other,47210,,
LIVANEST HOMES LTD,16472675,2025-05-24,active,,2025-05-24,02:27:10,Other,68209,,
VALANTIX LTD,16472671,2025-05-24,active,,2025-05-24,02:27:10,Other,"62012,70100,77400",,
CHILDE LIMITED,NI729760,2025-05-24,active,,2025-05-24,02:27:10,Other,47910,,
